Truck ID,Component Description,Category Group,Installation Date,Age (Days),Current Health (%),Projected 50% Date
30011667,EMBUDO MULTIUSOS,CLUSTER_19,2025-04-10,426,74.1,Exceeds Model Limit
30007042,JABON D/ CALABAZA 19 LTS,CLUSTER_20,2025-06-04,371,74.0,Exceeds Model Limit
30007042,TOALLITAS DESINFECTANTE LYSOL 35PZ,CLUSTER_20,2025-06-05,370,74.0,Exceeds Model Limit
30012331,"Manguera Hid de 1/2"" c/conexiones x .70",CLUSTER_8,2025-03-12,455,74.0,Exceeds Model Limit
30013410,"Manguera Hid de 1/2"" c/conexiones x .70",CLUSTER_8,2025-03-12,455,74.0,Exceeds Model Limit
30004384,GLASS SIGHT GEARBOX 215397,CLUSTER_11,2025-09-30,253,73.9,2029-11-28
30012514,CAMBIO DE CALAVERAS,CLUSTER_22,2026-02-17,113,73.9,2030-01-27
30012225,JUEGO DE BALATAS,CLUSTER_8,2025-02-10,485,73.8,Exceeds Model Limit
30012245,DISCO P/CORTE 7X1/8X ROSCA 5/8PUL,CLUSTER_15,2025-08-04,310,73.8,Exceeds Model Limit
30013219,TAPON MACHO 1/2PUL GALV.,CLUSTER_13,2025-02-21,474,73.8,Exceeds Model Limit
30012224,RESCATE  A PRAXEDIS,CLUSTER_17,2025-12-12,180,73.7,2031-09-17
